file,original_bytes,current_bytes,change_bytes,note
index.html,14480,11465,-3015,logger + sheet CSS removed; bump chart + table CSS added
lib/render.mjs,17835,12829,-5006,logger and its listeners out; chart rebuilt; form + team panels in
lib/league.mjs,6196,6184,-12,stored-history helpers out; rankHistory + teamMatches in
lib/csv.mjs,1578,1176,-402,toCSV removed (no callers left)
README.md,5032,4472,-560,rewritten for the no-sync workflow
scripts/sync.mjs,3562,0,-3562,deleted
scripts/snapshot.mjs,1806,0,-1806,deleted
.github/workflows/update.yml,1400,0,-1400,deleted
history/positions.csv,28,0,-28,deleted
data/fixtures.csv,3252,3256,4,test scores typed in
data/meta.json,216,216,0,
data/squad.csv,15,15,0,still headers only
data/appearances.csv,42,42,0,still headers only
.gitignore,43,43,0,
TOTAL,55485,39698,-15787,
