match_id,date,home_away,opponent,pitch,result
5,2026-09-14,H,Team Tesla,Football Field 1A,0-0
14,2026-09-21,A,Natte Honden,Football Field 1B,
23,2026-09-28,H,Jiyan,Football Field 1B,
32,2026-10-05,A,DHL dreamteam,Football Field 2B,
40,2026-10-12,A,Booterbal,Football Field 2A,
47,2026-10-19,H,Ampel 2,Hockey Field 2B,
54,2026-10-26,A,VVvTP – A,Football Field 2A,
61,2026-11-09,H,De uitgelootgieters,Hockey Field 2A,
68,2026-11-16,A,De Raafschap,Hockey Field 2A,
75,2026-11-23,H,MTT Gunners,Hockey Field 1B,
82,2026-11-30,A,DreamTeamTeam,Hockey Field 1B,
89,2026-12-07,H,Al-Cohol,Hockey Field 2B,
98,2026-12-14,H,VV De Benenbrekers,Hockey Field 1A,
107,2027-01-04,A,Zware Jongens,Football Field 2B,
116,2027-01-11,H,VVGSD,Hockey Field 1A,
