# Phase 1 is the single round everyone plays once: ids 1-120, straight off Playpass.
# Phase 2 goes below this block after the winter break, with phase=2, group=top or
# bottom, and ids from 1001 up so nothing ever collides with appearances.csv.
# Lines starting with # are ignored by the page.
id,date,played_on,time,field,home,away,home_score,away_score,phase,group
1,2026-09-14,2026-09-14,19:00,Hockey Field 1A,Al-Cohol,Zware Jongens,1,2,1,
2,2026-09-14,2026-09-14,19:00,Hockey Field 1B,Ampel 2,VVvTP – A,0,0,1,
3,2026-09-14,2026-09-14,19:00,Hockey Field 2A,VV De Benenbrekers,VVGSD,6,2,1,
4,2026-09-14,2026-09-14,19:00,Hockey Field 2B,Booterbal,De uitgelootgieters,1,11,1,
5,2026-09-14,2026-09-14,19:00,Football Field 1A,Club Tower Brugge,Team Tesla,0,0,1,
6,2026-09-14,2026-09-14,19:00,Football Field 1B,DHL dreamteam,De Raafschap,10,3,1,
7,2026-09-14,,19:00,Football Field 2A,DreamTeamTeam,Natte Honden,,,1,
8,2026-09-14,2026-09-14,19:00,Football Field 2B,Jiyan,MTT Gunners,3,1,1,
9,2026-09-21,,19:00,Hockey Field 2A,VVvTP – A,Al-Cohol,,,1,
10,2026-09-21,,19:00,Hockey Field 1B,VVGSD,Zware Jongens,,,1,
11,2026-09-21,,19:00,Hockey Field 1A,De uitgelootgieters,Ampel 2,,,1,
12,2026-09-21,,19:00,Hockey Field 2B,Team Tesla,VV De Benenbrekers,,,1,
13,2026-09-21,,19:00,Football Field 1A,De Raafschap,Booterbal,,,1,
14,2026-09-21,,19:00,Football Field 1B,Natte Honden,Club Tower Brugge,0,3,1,
15,2026-09-21,,19:00,Football Field 2A,MTT Gunners,DHL dreamteam,,,1,
16,2026-09-21,,19:00,Football Field 2B,Jiyan,DreamTeamTeam,,,1,
17,2026-09-28,,19:00,Hockey Field 2B,Al-Cohol,VVGSD,,,1,
18,2026-09-28,,19:00,Football Field 2B,VVvTP – A,De uitgelootgieters,,,1,
19,2026-09-28,,19:00,Hockey Field 2A,Zware Jongens,Team Tesla,,,1,
20,2026-09-28,,19:00,Football Field 2A,Ampel 2,De Raafschap,,,1,
21,2026-09-28,,19:00,Hockey Field 1A,VV De Benenbrekers,Natte Honden,,,1,
22,2026-09-28,,19:00,Hockey Field 1B,Booterbal,MTT Gunners,,,1,
23,2026-09-28,,19:00,Football Field 1B,Club Tower Brugge,Jiyan,,,1,
24,2026-09-28,,19:00,Football Field 1A,DHL dreamteam,DreamTeamTeam,,,1,
25,2026-10-05,,19:00,Hockey Field 1B,De uitgelootgieters,Al-Cohol,,,1,
26,2026-10-05,,19:00,Hockey Field 1A,Team Tesla,VVGSD,,,1,
27,2026-10-05,,19:00,Hockey Field 2B,De Raafschap,VVvTP – A,,,1,
28,2026-10-05,,19:00,Football Field 1A,Natte Honden,Zware Jongens,,,1,
29,2026-10-05,,19:00,Hockey Field 2A,MTT Gunners,Ampel 2,,,1,
30,2026-10-05,,19:00,Football Field 2A,Jiyan,VV De Benenbrekers,,,1,
31,2026-10-05,,19:00,Football Field 1B,DreamTeamTeam,Booterbal,,,1,
32,2026-10-05,,19:00,Football Field 2B,DHL dreamteam,Club Tower Brugge,,,1,
33,2026-10-12,,19:00,Football Field 1B,Al-Cohol,Team Tesla,,,1,
34,2026-10-12,,19:00,Hockey Field 2A,De uitgelootgieters,De Raafschap,,,1,
35,2026-10-12,,19:00,Football Field 2B,VVGSD,Natte Honden,,,1,
36,2026-10-12,,19:00,Hockey Field 1A,VVvTP – A,MTT Gunners,,,1,
37,2026-10-12,,19:00,Hockey Field 2B,Zware Jongens,Jiyan,,,1,
38,2026-10-12,,19:00,Football Field 1A,Ampel 2,DreamTeamTeam,,,1,
39,2026-10-12,,19:00,Hockey Field 1B,VV De Benenbrekers,DHL dreamteam,,,1,
40,2026-10-12,,19:00,Football Field 2A,Booterbal,Club Tower Brugge,,,1,
41,2026-10-19,,19:00,Football Field 2B,De Raafschap,Al-Cohol,,,1,
42,2026-10-19,,19:00,Hockey Field 1B,Natte Honden,Team Tesla,,,1,
43,2026-10-19,,19:00,Football Field 1B,MTT Gunners,De uitgelootgieters,,,1,
44,2026-10-19,,19:00,Football Field 1A,VVGSD,Jiyan,,,1,
45,2026-10-19,,19:00,Hockey Field 1A,DreamTeamTeam,VVvTP – A,,,1,
46,2026-10-19,,19:00,Hockey Field 2A,Zware Jongens,DHL dreamteam,,,1,
47,2026-10-19,,19:00,Hockey Field 2B,Club Tower Brugge,Ampel 2,,,1,
48,2026-10-19,,19:00,Football Field 2A,Booterbal,VV De Benenbrekers,,,1,
49,2026-10-26,,19:00,Hockey Field 2A,Al-Cohol,Natte Honden,,,1,
50,2026-10-26,,19:00,Hockey Field 1A,De Raafschap,MTT Gunners,,,1,
51,2026-10-26,,19:00,Hockey Field 1B,Team Tesla,Jiyan,,,1,
52,2026-10-26,,19:00,Hockey Field 2B,De uitgelootgieters,DreamTeamTeam,,,1,
53,2026-10-26,,19:00,Football Field 1A,VVGSD,DHL dreamteam,,,1,
54,2026-10-26,,19:00,Football Field 2A,VVvTP – A,Club Tower Brugge,,,1,
55,2026-10-26,,19:00,Football Field 2B,Zware Jongens,Booterbal,,,1,
56,2026-10-26,,19:00,Football Field 1B,Ampel 2,VV De Benenbrekers,,,1,
57,2026-11-09,,19:00,Football Field 1A,MTT Gunners,Al-Cohol,,,1,
58,2026-11-09,,19:00,Hockey Field 1A,Jiyan,Natte Honden,,,1,
59,2026-11-09,,19:00,Hockey Field 1B,DreamTeamTeam,De Raafschap,,,1,
60,2026-11-09,,19:00,Hockey Field 2B,DHL dreamteam,Team Tesla,,,1,
61,2026-11-09,,19:00,Hockey Field 2A,Club Tower Brugge,De uitgelootgieters,,,1,
62,2026-11-09,,19:00,Football Field 1B,Booterbal,VVGSD,,,1,
63,2026-11-09,,19:00,Football Field 2B,VV De Benenbrekers,VVvTP – A,,,1,
64,2026-11-09,,19:00,Football Field 2A,Ampel 2,Zware Jongens,,,1,
65,2026-11-16,,19:00,Football Field 2A,Al-Cohol,Jiyan,,,1,
66,2026-11-16,,19:00,Hockey Field 1A,MTT Gunners,DreamTeamTeam,,,1,
67,2026-11-16,,19:00,Hockey Field 2B,Natte Honden,DHL dreamteam,,,1,
68,2026-11-16,,19:00,Hockey Field 2A,De Raafschap,Club Tower Brugge,,,1,
69,2026-11-16,,19:00,Football Field 2B,Team Tesla,Booterbal,,,1,
70,2026-11-16,,19:00,Football Field 1A,De uitgelootgieters,VV De Benenbrekers,,,1,
71,2026-11-16,,19:00,Hockey Field 1B,VVGSD,Ampel 2,,,1,
72,2026-11-16,,19:00,Football Field 1B,VVvTP – A,Zware Jongens,,,1,
73,2026-11-23,,19:00,Football Field 2A,DreamTeamTeam,Al-Cohol,,,1,
74,2026-11-23,,19:00,Hockey Field 2A,DHL dreamteam,Jiyan,,,1,
75,2026-11-23,,19:00,Hockey Field 1B,Club Tower Brugge,MTT Gunners,,,1,
76,2026-11-23,,19:00,Hockey Field 2B,Natte Honden,Booterbal,,,1,
77,2026-11-23,,19:00,Football Field 1A,VV De Benenbrekers,De Raafschap,,,1,
78,2026-11-23,,19:00,Football Field 2B,Team Tesla,Ampel 2,,,1,
79,2026-11-23,,19:00,Hockey Field 1A,Zware Jongens,De uitgelootgieters,,,1,
80,2026-11-23,,19:00,Football Field 1B,VVvTP – A,VVGSD,,,1,
81,2026-11-30,,19:00,Hockey Field 1A,Al-Cohol,DHL dreamteam,,,1,
82,2026-11-30,,19:00,Hockey Field 1B,DreamTeamTeam,Club Tower Brugge,,,1,
83,2026-11-30,,19:00,Hockey Field 2A,Jiyan,Booterbal,,,1,
84,2026-11-30,,19:00,Hockey Field 2B,MTT Gunners,VV De Benenbrekers,,,1,
85,2026-11-30,,19:00,Football Field 1A,Natte Honden,Ampel 2,,,1,
86,2026-11-30,,19:00,Football Field 1B,De Raafschap,Zware Jongens,,,1,
87,2026-11-30,,19:00,Football Field 2A,Team Tesla,VVvTP – A,,,1,
88,2026-11-30,,19:00,Football Field 2B,De uitgelootgieters,VVGSD,,,1,
89,2026-12-07,,19:00,Hockey Field 2B,Club Tower Brugge,Al-Cohol,,,1,
90,2026-12-07,,19:00,Hockey Field 1A,Booterbal,DHL dreamteam,,,1,
91,2026-12-07,,19:00,Hockey Field 2A,VV De Benenbrekers,DreamTeamTeam,,,1,
92,2026-12-07,,19:00,Football Field 1B,Ampel 2,Jiyan,,,1,
93,2026-12-07,,19:00,Football Field 2B,Zware Jongens,MTT Gunners,,,1,
94,2026-12-07,,19:00,Hockey Field 1B,VVvTP – A,Natte Honden,,,1,
95,2026-12-07,,19:00,Football Field 2A,VVGSD,De Raafschap,,,1,
96,2026-12-07,,19:00,Football Field 1A,De uitgelootgieters,Team Tesla,,,1,
97,2026-12-14,,19:00,Hockey Field 1B,Al-Cohol,Booterbal,,,1,
98,2026-12-14,,19:00,Hockey Field 1A,Club Tower Brugge,VV De Benenbrekers,,,1,
99,2026-12-14,,19:00,Hockey Field 2A,DHL dreamteam,Ampel 2,,,1,
100,2026-12-14,,19:00,Hockey Field 2B,DreamTeamTeam,Zware Jongens,,,1,
101,2026-12-14,,19:00,Football Field 1A,Jiyan,VVvTP – A,,,1,
102,2026-12-14,,19:00,Football Field 2A,MTT Gunners,VVGSD,,,1,
103,2026-12-14,,19:00,Football Field 1B,Natte Honden,De uitgelootgieters,,,1,
104,2026-12-14,,19:00,Football Field 2B,De Raafschap,Team Tesla,,,1,
105,2027-01-04,,19:00,Football Field 1B,VV De Benenbrekers,Al-Cohol,,,1,
106,2027-01-04,,19:00,Hockey Field 1A,Ampel 2,Booterbal,,,1,
107,2027-01-04,,19:00,Football Field 2B,Zware Jongens,Club Tower Brugge,,,1,
108,2027-01-04,,19:00,Hockey Field 2B,DHL dreamteam,VVvTP – A,,,1,
109,2027-01-04,,19:00,Hockey Field 2A,VVGSD,DreamTeamTeam,,,1,
110,2027-01-04,,19:00,Hockey Field 1B,Jiyan,De uitgelootgieters,,,1,
111,2027-01-04,,19:00,Football Field 1A,Team Tesla,MTT Gunners,,,1,
112,2027-01-04,,19:00,Football Field 2A,De Raafschap,Natte Honden,,,1,
113,2027-01-11,,19:00,Football Field 2B,Al-Cohol,Ampel 2,,,1,
114,2027-01-11,,19:00,Hockey Field 1B,VV De Benenbrekers,Zware Jongens,,,1,
115,2027-01-11,,19:00,Hockey Field 2A,Booterbal,VVvTP – A,,,1,
116,2027-01-11,,19:00,Hockey Field 1A,Club Tower Brugge,VVGSD,,,1,
117,2027-01-11,,19:00,Football Field 2A,DHL dreamteam,De uitgelootgieters,,,1,
118,2027-01-11,,19:00,Football Field 1B,DreamTeamTeam,Team Tesla,,,1,
119,2027-01-11,,19:00,Hockey Field 2B,Jiyan,De Raafschap,,,1,
120,2027-01-11,,19:00,Football Field 1A,MTT Gunners,Natte Honden,,,1,
